kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
8211000;8917;8917;8919;8920;8921;8923
8212000;5115;5110;5103;5095;5088;5080
8215000;39849;39861;39881;39901;39921;39941
8216000;39808;39806;39804;39802;39800;39797
8221000;4689;4686;4682;4678;4674;4670
8222000;2268;2268;2270;2272;2273;2275
8225000;49967;49987;50020;50054;50087;50121
8226000;41512;41518;41528;41539;41549;41560
8231000;5275;5277;5281;5285;5289;5293
8235000;51388;51380;51368;51356;51344;51332
8236000;23780;23781;23783;23786;23788;23791
8237000;56567;56566;56565;56564;56564;56563
8311000;6824;6831;6843;6856;6868;6880
8315000;68261;68261;68262;68263;68264;68266
8316000;32203;32214;32232;32250;32269;32287
8317000;91461;91459;91456;91453;91451;91448
8325000;34706;34716;34733;34751;34768;34785
8326000;48380;48386;48398;48409;48420;48431
8327000;37995;37993;37989;37986;37983;37979
8335000;29131;29134;29141;29148;29154;29161
8336000;42932;42935;42941;42947;42952;42958
8337000;58434;58445;58463;58482;58501;58520
8415000;44554;44578;44618;44659;44699;44739
8416000;19341;19345;19352;19358;19365;19372
8417000;40699;40736;40798;40859;40921;40983
8421000;2783;2891;3072;3253;3433;3614
8425000;42286;42436;42686;42936;43186;43436
8426000;40746;40806;40907;41008;41108;41209
8435000;20097;20130;20187;20244;20300;20357
8436000;48742;48758;48785;48813;48840;48868
8437000;48264;48284;48319;48354;48388;48423
9161000;2063;2085;2121;2158;2195;2231
9162000;1963;1994;2045;2097;2149;2200
9163000;626;624;620;617;614;610
9171000;17527;17495;17443;17390;17338;17285
9172000;47006;47008;47011;47015;47018;47022
9173000;65080;65114;65171;65228;65284;65341
9174000;10004;9999;9992;9984;9977;9969
9175000;21202;21212;21231;21249;21267;21285
9176000;50422;50427;50435;50444;50452;50461
9177000;12255;12339;12480;12621;12762;12902
9178000;15636;15696;15797;15898;15998;16099
9179000;9861;9912;9998;10084;10169;10255
9180000;62194;62269;62394;62519;62644;62769
9181000;23820;23860;23928;23995;24063;24131
9182000;50709;50807;50972;51136;51301;51465
9183000;18623;18609;18587;18564;18542;18519
9184000;30759;30750;30736;30721;30707;30693
9185000;17564;17609;17685;17761;17837;17912
9186000;19041;19033;19021;19008;18996;18983
9187000;54117;54185;54299;54413;54526;54640
9188000;18632;18611;18577;18542;18508;18473
9189000;61008;61041;61096;61152;61207;61263
9190000;32198;32212;32236;32260;32284;32308
9261000;1305;1314;1329;1344;1359;1374
9262000;2521;2519;2517;2514;2512;2509
9263000;102;109;123;136;149;163
9271000;26011;26100;26248;26396;26545;26693
9272000;57854;57867;57890;57913;57936;57958
9273000;42905;42917;42937;42957;42977;42997
9274000;31297;31383;31526;31669;31813;31956
9275000;46035;45992;45920;45848;45777;45705
9276000;64228;64309;64444;64579;64714;64849
9277000;33729;33807;33938;34069;34199;34330
9278000;33440;33534;33693;33851;34009;34168
9279000;19553;19634;19770;19906;20042;20177
9361000;1076;1069;1057;1045;1034;1022
9362000;566;582;608;635;662;688
9363000;2346;2344;2341;2338;2335;2332
9371000;62014;62041;62087;62133;62179;62225
9372000;68794;68944;69196;69448;69699;69951
9373000;51178;51190;51211;51231;51252;51272
9374000;69236;69283;69361;69440;69519;69597
9375000;49476;49558;49695;49832;49969;50105
9376000;66617;66491;66281;66071;65861;65651
9377000;52606;52590;52564;52538;52511;52485
9461000;1823;1826;1833;1840;1846;1853
9462000;1368;1375;1387;1400;1412;1425
9463000;1155;1168;1191;1213;1236;1258
9464000;849;850;854;857;860;864
9471000;48263;48311;48393;48474;48556;48637
9472000;61384;61407;61446;61486;61525;61564
9473000;19173;19186;19208;19230;19252;19274
9474000;25900;25914;25938;25962;25986;26010
9475000;32120;32117;32112;32108;32104;32099
9476000;40000;40006;40018;40029;40040;40051
9477000;24935;24924;24905;24887;24869;24851
9478000;20545;20575;20625;20675;20726;20776
9479000;28800;28815;28840;28866;28892;28917
9561000;2980;2983;2988;2993;2998;3003
9562000;1785;1779;1770;1761;1752;1742
9563000;788;799;819;839;859;879
9564000;3366;3379;3400;3422;3444;3465
9565000;1244;1244;1246;1248;1249;1251
9571000;57944;57994;58078;58162;58247;58331
9572000;24467;24462;24455;24447;24440;24432
9573000;8049;8051;8056;8061;8066;8071
9574000;43304;43362;43459;43557;43654;43751
9575000;38054;38076;38114;38151;38189;38226
9576000;42202;42251;42334;42417;42500;42584
9577000;33619;33631;33652;33674;33695;33716
9661000;2027;2032;2041;2049;2058;2067
9662000;581;584;590;596;601;607
9663000;1823;1846;1884;1922;1961;1999
9671000;41578;41687;41870;42053;42236;42419
9672000;57572;57625;57713;57802;57890;57979
9673000;40288;40336;40416;40497;40578;40658
9674000;40186;40203;40233;40262;40291;40321
9675000;15782;15805;15843;15881;15920;15958
9676000;43702;43763;43865;43967;44069;44171
9677000;75247;75284;75346;75407;75469;75531
9678000;22691;22709;22741;22773;22804;22836
9679000;22677;22762;22904;23047;23189;23332
9761000;3961;3969;3983;3997;4012;4026
9762000;1030;1024;1014;1004;994;984
9763000;760;796;857;918;979;1039
9764000;1751;1751;1753;1755;1756;1758
9771000;20039;20058;20091;20123;20156;20188
9772000;36472;36472;36472;36473;36473;36474
9773000;18286;18287;18290;18292;18295;18297
9774000;22751;22795;22868;22941;23015;23088
9775000;15845;15875;15926;15977;16027;16078
9776000;8898;8928;8979;9030;9080;9131
9777000;43619;43621;43626;43631;43636;43641
9778000;31668;31713;31790;31867;31943;32020
9779000;34191;34186;34177;34169;34161;34152
9780000;58489;58587;58751;58915;59079;59242
10041000;20096;20148;20236;20324;20411;20499
10042000;25169;25374;25717;26059;26402;26745
10043000;9397;9514;9710;9906;10102;10298
10044000;15308;16200;17689;19177;20665;22154
10045000;16947;17148;17484;17820;18156;18492
10046000;20088;20410;20948;21485;22023;22561
11000000;16724;16795;16913;17031;17150;17268
12051000;7318;7447;7663;7879;8095;8310
12052000;3934;4094;4362;4629;4897;5164
12053000;4452;4566;4756;4946;5136;5326
12054000;5248;5275;5320;5365;5410;5455
12060000;72733;72847;73039;73230;73422;73613
12061000;108122;108241;108440;108638;108837;109036
12062000;71063;71264;71600;71936;72272;72608
12063000;50323;51067;52308;53549;54789;56030
12064000;55929;56623;57779;58936;60093;61249
12065000;78997;79434;80163;80892;81621;82350
12066000;54935;55797;57234;58671;60108;61545
12067000;114185;114450;114892;115334;115776;116219
12068000;88390;88518;88731;88944;89158;89371
12069000;111251;111445;111769;112093;112418;112742
12070000;52338;52963;54004;55046;56088;57129
12071000;77551;77668;77863;78059;78254;78450
12072000;86899;86914;86939;86964;86989;87014
12073000;79337;79475;79706;79937;80167;80398
13003000;5706;5768;5871;5974;6078;6181
13004000;2716;2730;2753;2776;2800;2823
13071000;147110;147570;148338;149105;149873;150640
13072000;63013;63403;64054;64705;65355;66006
13073000;61845;62290;63031;63773;64515;65256
13074000;30523;31318;32643;33968;35293;36618
13075000;91078;92648;95266;97883;100501;103118
13076000;138585;139141;140067;140994;141921;142847
14511000;3926;3936;3955;3973;3991;4010
14521000;88420;88470;88555;88640;88725;88810
14522000;38678;38723;38798;38873;38948;39023
14523000;60095;60102;60115;60128;60141;60154
14524000;18435;18481;18559;18636;18714;18791
14612000;8552;8636;8777;8918;9059;9199
14625000;91159;91218;91318;91418;91518;91618
14626000;77840;77618;77248;76879;76509;76139
14627000;24070;24111;24179;24247;24316;24384
14628000;64953;64963;64981;64998;65016;65033
14713000;3245;3305;3406;3507;3607;3708
14729000;30454;30735;31204;31673;32142;32612
14730000;46444;46612;46893;47174;47454;47735
15001000;10152;10170;10200;10231;10261;10292
15002000;2501;2579;2709;2839;2969;3099
15003000;1732;1697;1638;1580;1522;1463
15081000;69682;69795;69983;70171;70360;70548
15082000;32862;33253;33906;34558;35211;35863
15083000;48541;49157;50185;51212;52240;53267
15084000;20124;20706;21677;22648;23619;24589
15085000;74872;74933;75036;75138;75241;75343
15086000;52141;51938;51600;51262;50924;50586
15087000;40220;40711;41531;42351;43171;43991
15088000;13551;14178;15224;16270;17316;18361
15089000;9777;10381;11387;12394;13401;14407
15090000;54456;54442;54418;54395;54372;54348
15091000;78756;78702;78613;78524;78435;78346
16051000;2638;2873;3267;3660;4053;4447
16052000;2959;3072;3260;3448;3637;3825
16053000;4347;4416;4533;4650;4766;4883
16054000;10415;10687;11141;11596;12050;12504
16055000;2018;2055;2118;2180;2243;2305
16056000;4143;4555;5243;5931;6619;7308
16061000;30913;31104;31424;31744;32064;32384
16062000;22826;23337;24190;25042;25895;26747
16063000;51663;52372;53553;54735;55916;57098
16064000;19754;20244;21062;21879;22697;23514
16065000;25831;26160;26709;27258;27807;28356
16066000;63695;63413;62943;62473;62003;61533
16067000;27851;28089;28485;28882;29278;29675
16068000;7127;7423;7917;8411;8905;9398
16069000;46258;46272;46296;46320;46344;46368
16070000;35510;36077;37022;37967;38912;39857
16071000;14792;14906;15096;15286;15476;15666
16072000;30050;30337;30817;31297;31777;32257
16073000;57182;57406;57779;58152;58526;58899
16074000;31774;31878;32052;32226;32400;32574
16075000;48927;49404;50200;50996;51792;52587
16076000;23282;23700;24398;25095;25793;26490
16077000;6861;6861;6861;6861;6861;6861
