kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
9577000;18242;18189;18078;17962;17862;17792
9661000;587;578;567;555;546;537
9662000;161;155;143;132;122;114
9663000;348;287;230;176;125;77
9671000;6248;6148;5970;5796;5632;5476
9672000;14070;13998;13862;13722;13601;13511
9673000;13052;12991;12877;12764;12667;12590
9674000;9595;9558;9480;9405;9347;9305
9675000;4613;4582;4521;4459;4404;4362
9676000;7767;7686;7536;7389;7261;7148
9677000;8328;8247;8100;7957;7834;7735
9678000;4902;4841;4719;4604;4511;4441
9679000;2924;2821;2632;2443;2264;2109
9761000;1020;981;914;853;797;738
9762000;1283;1276;1266;1256;1249;1243
9763000;3582;3547;3488;3431;3377;3323
9764000;2287;2280;2266;2252;2237;2226
9771000;10598;10550;10446;10349;10262;10189
9772000;19418;19329;19167;19020;18897;18793
9773000;9879;9831;9738;9645;9566;9501
9774000;17092;17020;16891;16774;16671;16577
9775000;8907;8840;8744;8655;8574;8502
9776000;18896;18858;18788;18716;18651;18590
9777000;73403;73363;73269;73155;73062;72988
9778000;56031;55950;55775;55584;55417;55273
9779000;17719;17663;17555;17437;17333;17247
9780000;72455;72344;72139;71938;71741;71554
10041000;4838;4762;4656;4553;4466;4391
10042000;11646;11409;11132;10845;10576;10326
10043000;5526;5400;5215;5024;4847;4684
10044000;8366;7506;6316;5115;3945;2801
10045000;9385;9183;8892;8598;8313;8041
10046000;12799;12493;12029;11552;11090;10661
11000000;337;0;0;0;0;0
12051000;2184;2042;1802;1559;1332;1116
12052000;1396;1249;997;738;492;270
12053000;403;324;179;34;0;0
12054000;2129;2068;1963;1864;1771;1681
12060000;9121;8919;8530;8112;7725;7439
12061000;25679;25505;25125;24696;24291;24018
12062000;27429;27175;26630;26040;25495;25112
12063000;31658;31104;30128;29125;28140;27238
12064000;15565;15008;13949;12793;11658;10756
12065000;26684;26351;25756;25157;24581;24053
12066000;11511;10795;9506;8262;7064;5986
12067000;16647;16387;15925;15479;15073;14704
12068000;40014;39764;39243;38676;38167;37815
12069000;32700;32307;31524;30685;29900;29283
12070000;40103;39530;38442;37269;36135;35226
12071000;13607;13411;12969;12520;12126;11847
12072000;19698;19479;19037;18545;18074;17757
12073000;33284;33005;32354;31594;30879;30445
13003000;1634;1560;1440;1328;1224;1130
13004000;1195;1175;1141;1109;1083;1062
13071000;75466;74837;73655;72493;71442;70697
13072000;56766;56290;55398;54438;53539;52927
13073000;49121;48573;47566;46466;45443;44751
13074000;24162;23614;22653;21666;20716;19892
13075000;77756;76403;74012;71611;69317;67346
13076000;83223;82543;81247;79972;78814;77959
14511000;2349;2309;2239;2174;2115;2074
14521000;35770;35464;34927;34390;33866;33389
14522000;32709;32566;32299;32015;31753;31599
14523000;24934;24875;24770;24700;24639;24604
14524000;13858;13720;13497;13360;13234;13143
14612000;3204;3061;2850;2642;2439;2252
14625000;28116;27918;27610;27348;27118;26966
